fy_ef,organization_id,organization,core_responsibility,program_id,program_name,planned_spending_1,actual_spending,planned_spending_2,planned_spending_3,planned_ftes_1,actual_ftes,planned_ftes_2,planned_ftes_3,planning_explanation,variance_explanation
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP12,"Lands, Natural Resources and Environmental Management",313939768,.,300463342,301296536,444,.,435,426,"Financials:
Primarily reflect:
*  a decrease in funding for building on the success of First Nations Land Management (Budget 2018)
*  an increase in funding for infrastructure in Indigenous communities (Budget 2021)

FTEs:
The decrease in FTEs from 2023-24 onwards is due to sunsetting of FTEs previously funded for the expansion of the First Nation Land Management (Budget 2018), the Enhanced Participation of Indigenous Peoples in New Impact Assessment and Regulatory Processes, and for Additions to Reserve Land for First Nations Economic Recovery (Budget 2021).",
FY 2022-23,348,Department of Indigenous Services,Governance and Community Development Services,BXP13,"Statutory, Legislative and Policy Support to First Nations Governance",3978868,.,3978866,3978865,19,.,19,19,"Financials:
The year-over-year differences are immaterial.",
FY 2022-23,348,Department of Indigenous Services,Indigenous Self-Determined Services,BXQ01,New Fiscal Relationship,1582555602,.,1586180864,1603407105,0,.,0,0,"Financials:
• Net increase in funding for the New Fiscal Relationship program

FTEs:
The variance in 2021-22 to 2022-23 onwards is due to the fact that the funding requested sunsets in 2021-22. The Sector will be presenting to the Board of Ministers to request funding for 2022-23 and future years.",
FY 2022-23,348,Department of Indigenous Services,Indigenous Self-Determined Services,BXQ03,British Columbia Tripartite Health Governance,610223971,.,0,0,0,.,0,0,"Financials:
* Sunset (at the end of 2022-23) of funding to support the implementation of the British Columbia Tripartite Framework Agreement on First Nation Health Governance for the transfer to the First Nations Health Authority as well as an allocation of funding (starting in 2023-24) for the same purpose is no longer required.

FTEs:
This program is specifically for contribution dollars only. British Columbia Tripartite Health Governance is to flow funding to the British Columbia First Nations Health Authority.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS01,Management and Oversight Services,46760314,.,41899920,39665641,370,.,357,340,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS02,Communications Services,18903296,.,16938436,16035208,236,.,229,220,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS03,Legal Services,10519498,.,9426073,8923435,0,.,0,0,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS04,Human Resources Management Services,27330835,.,24489994,23184085,0,.,0,0,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS05,Financial Management Services,77740603,.,69660036,65945468,349,.,323,291,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS06,Information Management Services,21318204,.,19102332,18083716,125,.,118,109,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS07,Information Technology Services,3894642,.,3489822,3303730,307,.,300,292,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS08,Real Property Management Services,1265256,.,1133742,1073286,40,.,38,37,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS09,Materiel Management Services,7023522,.,6293478,5957883,40,.,38,36,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,348,Department of Indigenous Services,Internal Services,ISS0Z,Acquisition Management Services,412310,.,369453,349753,49,.,48,47,"Financials:
The year-over-year differences reflect a net decrease in the approved funding profile for internal support services.",
FY 2022-23,349,Office of the Privacy Commissioner of Canada,Protection of privacy rights,BRG01,Promotion Program,11526330,.,11526330,11526330,79,.,79,79,,
FY 2022-23,349,Office of the Privacy Commissioner of Canada,Protection of privacy rights,BRG02,Compliance Program,9998096,.,9998096,9998096,74,.,74,74,,
FY 2022-23,349,Office of the Privacy Commissioner of Canada,Internal services – Office of the Privacy Commissioner,ISS10,Internal Services – Office of the Privacy Commissioner,7695005,.,7695005,7695005,54,.,54,54,,
FY 2022-23,539,Administrative Tribunals Support Service of Canada,Support services and facilities to federal administrative tribunals and its members,BEE01,Registry Services,9252951,.,9256189,9239532,179,.,179,179,,
FY 2022-23,539,Administrative Tribunals Support Service of Canada,Support services and facilities to federal administrative tribunals and its members,BEE02,Legal Services,7468243,.,7470856,7457413,64,.,64,64,,
FY 2022-23,539,Administrative Tribunals Support Service of Canada,Support services and facilities to federal administrative tribunals and its members,BEE03,Mandate and Members Services,33841217,.,33853057,33792141,278,.,278,278,,
FY 2022-23,539,Administrative Tribunals Support Service of Canada,Internal Services,ISS00,Internal Services,21815179,.,21822811,21783543,151,.,151,151,,
FY 2022-23,552,Canadian High Arctic Research Station,Polar Science and Knowledge,BWX01,Science and Technology,14302615,.,14302615,14302615,26,.,26,26,,
FY 2022-23,552,Canadian High Arctic Research Station,Polar Science and Knowledge,BWX02,Knowledge Management and Engagement,2617807,.,2617807,2617807,18,.,18,18,,
FY 2022-23,552,Canadian High Arctic Research Station,Internal Services,ISS00,Internal Services,15445717,.,15445717,15445717,51,.,51,51,,
FY 2022-23,558,Canadian Accessibility Standards Development Organization,Accessibility Standards,BXZ01,Standards Development,11820706,.,11994575,12007970,22,.,22,22,No explanation necessary.,
FY 2022-23,558,Canadian Accessibility Standards Development Organization,Accessibility Standards,BXZ02,Outreach and Knowledge Application,3320706,.,3494575,3507971,16,.,16,16,No explanation necessary.,
FY 2022-23,558,Canadian Accessibility Standards Development Organization,Internal Services,ISS00,Internal Services,5736034,.,5651958,5625095,18,.,18,18,No explanation necessary.,
FY 2022-23,560,Pacific Economic Development Agency of Canada,Economic Development in British Columbia,BYK01,Innovation,30046843,.,29652890,29662902,25,.,25,25,,
FY 2022-23,560,Pacific Economic Development Agency of Canada,Economic Development in British Columbia,BYK02,Business Growth,86545138,.,62618091,50525615,63,.,63,56,,
FY 2022-23,560,Pacific Economic Development Agency of Canada,Economic Development in British Columbia,BYK03,Business Services,82090158,.,29734683,17261358,40,.,40,40,,
FY 2022-23,560,Pacific Economic Development Agency of Canada,Economic Development in British Columbia,BYK04,Community Initiatives,48539085,.,6917558,4711568,10,.,4,3,,
FY 2022-23,560,Pacific Economic Development Agency of Canada,Internal Services,ISS00,Internal Services,7790038,.,7325375,7337183,33,.,33,33,,
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,Economic Development in Northern Ontario,BYL01,Business Development,0,.,0,0,0,.,0,0,See the variance explanations at the core responsibility level.,
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,Economic Development in Northern Ontario,BYL02,Regional Innovation Ecosystem,0,.,0,0,0,.,0,0,See the variance explanations at the core responsibility level.,
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,Economic Development in Northern Ontario,BYL03,Community Economic Development and Diversification,122657021,.,54714797,45513200,87,.,77,76,See the variance explanations at the core responsibility level.,
FY 2022-23,561,Federal Economic Development Agency for Northern Ontario,Internal Services,ISS00,Internal Services,1165877,.,2819094,2830948,15,.,15,15,See the variance explanations at the core responsibility level.,
FY 2023-24,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN01,Trade and Market Expansion,12269315,.,12269315,12429315,180,.,180,180,,
FY 2023-24,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN02,Sector Engagement and Development,115315859,.,36322923,24517008,207,.,196,196,"The decrease in planned spending in 2024-25 reflects the expiry of the Wine Sector Support Program at the end of 2023-24. 
The decrease in planned spending in 2025-26 reflects a decrease in funding for the Youth Employment and Skills Program.",
FY 2023-24,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN03,Farm Products Council of Canada,3185730,.,3185730,3185730,18,.,18,18,,
FY 2023-24,1,Department of Agriculture and Agri-Food,Domestic and International Markets,BWN04,Supply Management Initiatives,154347411,.,165630164,164883305,42,.,46,44,The increase in full-time equivalents in 2024-25 reflects increased staffing support for the Poultry and Egg On-Farm Investment Program and the Supply Management Processing Investment Fund.,
